                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21473,                  2.349,                0.94733,                 0.6595,                0.70748,                0.70846,                0.70166,                0.15034,                 1.1151,                0.53083,              0.0033321,              0.0033321,              0.0033321
                      2,                0.18001,                0.99584,                0.91213,                0.82082,                0.83731,                0.90081,                0.89239,                0.17047,                0.97251,                0.64628,              0.0065995,              0.0065995,              0.0065995
                      3,                0.19659,                0.90442,                0.91254,                0.80741,                0.81783,                0.88322,                0.86402,                0.18673,                0.93497,                0.66292,              0.0098008,              0.0098008,              0.0098008
                      4,                  0.175,                0.82184,                0.90756,                0.86918,                0.89459,                0.95982,                0.93755,                0.14162,                0.79933,                0.62937,               0.009703,               0.009703,               0.009703
                      5,                 0.1457,                0.69627,                0.90162,                0.96347,                0.95802,                0.98614,                0.98467,                0.16969,                0.39859,                0.66028,               0.009703,               0.009703,               0.009703
                      6,                0.12814,                0.62618,                0.89884,                0.95249,                0.95187,                0.98268,                0.97651,                0.18388,                0.47901,                0.69377,               0.009604,               0.009604,               0.009604
                      7,                0.11766,                0.57542,                0.89643,                0.96013,                0.97386,                0.98915,                0.98798,                 0.1155,                  0.379,                0.61036,               0.009505,               0.009505,               0.009505
                      8,                0.11078,                0.55249,                  0.896,                0.96147,                0.93609,                0.98677,                0.98015,                0.14927,                0.43467,                0.62226,               0.009406,               0.009406,               0.009406
                      9,                0.10435,                 0.5221,                0.89443,                0.97277,                0.96968,                0.99049,                0.98994,                0.09412,                0.30772,                0.60906,               0.009307,               0.009307,               0.009307
                     10,                0.09988,                 0.5137,                0.89343,                0.97805,                0.97185,                0.99092,                0.99058,                0.10763,                 0.3162,                0.60577,               0.009208,               0.009208,               0.009208
                     11,                0.09761,                0.49571,                 0.8936,                0.97681,                0.97671,                0.99176,                0.99115,                0.10543,                  0.347,                0.60946,               0.009109,               0.009109,               0.009109
                     12,                0.09527,                0.48294,                0.89359,                0.98172,                0.98481,                0.99302,                 0.9925,                0.08652,                0.29685,                0.59264,                0.00901,                0.00901,                0.00901
                     13,                0.09033,                  0.459,                0.89184,                0.98283,                 0.9812,                0.99316,                0.99131,                0.10099,                0.28992,                0.60533,               0.008911,               0.008911,               0.008911
                     14,                 0.0891,                0.45317,                0.89232,                0.98593,                0.98471,                0.99339,                0.99331,                0.08064,                0.22061,                0.59715,               0.008812,               0.008812,               0.008812
