                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2203,                 1.4766,                0.95963,                 0.8971,                 0.8899,                0.94519,                0.94055,                0.08272,                0.52896,                0.20477,              0.0033321,              0.0033321,              0.0033321
                      2,                0.17094,                0.71453,                0.90878,                 0.8946,                0.90826,                0.95868,                0.95623,                0.07402,                0.52364,                0.17907,              0.0065995,              0.0065995,              0.0065995
                      3,                0.18657,                0.74073,                0.90977,                0.91269,                0.91213,                0.96187,                0.96007,                0.08962,                 0.5986,                 0.1856,              0.0098008,              0.0098008,              0.0098008
                      4,                0.16894,                0.71371,                0.90653,                0.94874,                0.95366,                0.97977,                0.97918,                0.10117,                0.42788,                0.18676,               0.009703,               0.009703,               0.009703
                      5,                0.13865,                0.60674,                0.90024,                0.96549,                0.96328,                0.98731,                0.98666,                0.08367,                0.28829,                 0.1787,               0.009703,               0.009703,               0.009703
                      6,                0.12271,                0.54173,                0.89696,                0.96356,                 0.9702,                0.98947,                0.98502,                0.15181,                0.40976,                0.21654,               0.009604,               0.009604,               0.009604
                      7,                0.11184,                0.49805,                0.89513,                0.97265,                0.97068,                0.99012,                0.98964,                0.08889,                0.28997,                0.17743,               0.009505,               0.009505,               0.009505
                      8,                0.10442,                0.47628,                0.89397,                0.97859,                0.97854,                0.99232,                0.99046,                0.09114,                0.22536,                0.17951,               0.009406,               0.009406,               0.009406
                      9,                0.09804,                0.45072,                0.89254,                 0.9858,                0.97668,                0.99264,                0.99203,                0.08487,                0.20904,                  0.187,               0.009307,               0.009307,               0.009307
                     10,                0.09269,                0.43294,                0.89213,                0.97585,                0.97971,                0.99188,                0.99095,                 0.0936,                0.36771,                0.18206,               0.009208,               0.009208,               0.009208
                     11,                    inf,                0.42018,                 0.8915,                0.98083,                0.98396,                0.99297,                0.99129,                0.11488,                0.28445,                0.19274,               0.009109,               0.009109,               0.009109
                     12,                0.08596,                0.40294,                0.89088,                 0.9885,                0.98214,                0.99295,                0.98172,                0.13495,                0.35168,                 0.1992,                0.00901,                0.00901,                0.00901
                     13,                0.08404,                0.38978,                0.89063,                 0.9884,                0.98851,                0.99355,                 0.9925,                0.11322,                0.29635,                0.19216,               0.008911,               0.008911,               0.008911
                     14,                0.08051,                0.38299,                0.89072,                0.98627,                0.98948,                0.99411,                0.99268,                0.09233,                 0.2327,                0.19102,               0.008812,               0.008812,               0.008812
                     15,                0.07842,                0.37566,                0.89043,                0.99174,                 0.9869,                0.99399,                 0.9924,                0.10207,                0.23749,                0.19036,               0.008713,               0.008713,               0.008713
                     16,                0.07756,                0.37065,                   0.89,                0.99038,                0.98937,                0.99399,                0.99213,                0.11918,                0.35404,                0.19534,               0.008614,               0.008614,               0.008614
                     17,                0.07662,                0.36125,                 0.8902,                0.99122,                0.98688,                0.99381,                0.99255,                 0.1205,                0.32487,                0.19516,               0.008515,               0.008515,               0.008515
                     18,                0.07457,                0.35535,                0.88976,                0.98972,                0.99047,                0.99399,                0.99244,                0.11226,                0.25935,                0.18951,               0.008416,               0.008416,               0.008416
                     19,                0.07365,                0.35033,                0.88977,                0.98965,                0.99053,                0.99398,                0.99292,                 0.1087,                 0.2542,                0.18814,               0.008317,               0.008317,               0.008317
                     20,                0.07298,                0.34303,                0.88941,                0.99286,                0.98852,                0.99414,                0.99367,                0.10208,                0.24188,                0.18767,               0.008218,               0.008218,               0.008218
